Unnamed: 0,review,rating,topic,topic_probability,topic_label,rating_number_only,sentiment
96,food employee microphone mess food unprofessional uncalled receipt bad convenient management,1 star,0,0.7168164,"Bad service, wrong orders, rude staff",1,negative
97,place location rude service order wrong busy rude,1 star,0,0.7532703,"Bad service, wrong orders, rude staff",1,negative
98,good fry ice cream world,5 stars,0,0.37567082,"Bad service, wrong orders, rude staff",5,positive
99,great people english spanish spanish speaker english order people smart put lobby order,4 stars,4,0.5968435,"Long wait times, slow drive-thru",4,positive
100,love area food family grandchild stuff couple day great good spot grandkid food great thing right thank,5 stars,1,0.36884764,"Fast and quick service, clean place, friendly staff",5,positive
101,work order night minute time thru line easy way,3 stars,4,0.81389505,"Long wait times, slow drive-thru",3,neutral
102,horrible customer service order wrong french fry fine wait fast food place fry minute bad fryer money industry business fry ready minute,1 star,0,0.49785647,"Bad service, wrong orders, rude staff",1,negative
103,horrible service thru dam thing right interest voice wrong drive direction sad,1 star,4,0.50757176,"Long wait times, slow drive-thru",1,negative
104,new self touchscreen hard order simple item staff preoccupied order correct parfait sweet tea empty,1 star,0,0.6392915,"Bad service, wrong orders, rude staff",1,negative
105,staff rude napkin table dirty son lunch movie lunch start lunch people late breakfast weekend lunch sign breakfast day review highway,1 star,4,0.7217019,"Long wait times, slow drive-thru",1,negative
106,general fast food place service morning quick breakfast time usual morning spot several different breakfast item wife order single order pancake sausage breakfast kid checkout expensive first cashier order order total pancake sausage breakfast wife girl oop offer fix refund great job,1 star,4,0.4894529,"Long wait times, slow drive-thru",1,negative
107,place well different crew member lady name window attitude work mcdonald people customer service,1 star,0,0.7092595,"Bad service, wrong orders, rude staff",1,negative
108,mind happy option 24hr food case way home night friend munchie day pretty average mcds business night order box minute speaker closed 24hrs 24hr place close night several month deep cleaning sign blindsided place closed worker lazy job shut store bad habit ice cream machine pm sorry ice cream machine lobby bad part website complaint store 24hr ice cream issue week ice cream machine upgrade location time single mention closed 24hr location standard mcds synonymous lazy one cake,1 star,4,0.5096951,"Long wait times, slow drive-thru",1,negative
109,stringent ketchup last visit,2 stars,4,0.535796,"Long wait times, slow drive-thru",2,negative
110,charge piece egg bacon egg cheese mcgriddle thru inside manager charge employee order sub bacon egg,1 star,4,0.6414574,"Long wait times, slow drive-thru",1,negative
111,love price french fry,5 stars,3,0.6327368,"Food quality issues (cold/old fries, burgers, nuggets)",5,positive
112,burger big mac middle part bread center baconcheese burger fine big mac bread piece bread bottom piece meat piece bread piece meat piece bread home bet,2 stars,5,0.5362763,"Miscellanous, general complains about environment",2,negative
113,surprised mcdonald side town coffee drinking cup hot water mcdonald coffee water,1 star,0,0.5347271,"Bad service, wrong orders, rude staff",1,negative
114,terrible service hand change,1 star,5,0.43285805,"Miscellanous, general complains about environment",1,negative
115,busy slow dangerous intersection drive food couple time old dry bad good,2 stars,4,0.3463616,"Long wait times, slow drive-thru",2,negative
116,mcdouble large soda burger pink red center last time fast food,1 star,0,0.3226078,"Bad service, wrong orders, rude staff",1,negative
117,food good atmosphere restaurant clean thing floor wet sign present slick good quick place bite,4 stars,1,0.37529778,"Fast and quick service, clean place, friendly staff",4,positive
118,dissatisfied service location big quarter pounder son burger mustard onion pickle son upset food burger slopply meat way burger bad dry little boy upset mad mommy little boy,1 star,3,0.35950282,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
119,d option good location way work home finish work option cause willing drive burger dry patty old nugget money home,2 stars,4,0.3623324,"Long wait times, slow drive-thru",2,negative
120,late night midnight rare good experience overnight staff show item quality food good difficulty order,2 stars,4,0.32136506,"Long wait times, slow drive-thru",2,negative
121,piece hair food pancake syrup ranch open bag bag complaint manager answer call rude certification health disgusting bathroom disgusting bad mcdonald life country,1 star,3,0.40618643,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
122,location polite fast overwhelming accurate order location bad experience great staff,5 stars,1,0.6229067,"Fast and quick service, clean place, friendly staff",5,positive
123,star early morning lady rude different job rude,1 star,0,0.74041414,"Bad service, wrong orders, rude staff",1,negative
124,wait spot jelly trash customer service blame management accountable,1 star,0,0.70645857,"Bad service, wrong orders, rude staff",1,negative
125,onion steak bagel meal house onion picante sauce sauce packet bag able eat,1 star,3,0.547887,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
126,personal nice everytime mess order extra extra topping toping plain bacon mcd double daughter mayo mac sause allergic onion order,1 star,0,0.39908877,"Bad service, wrong orders, rude staff",1,negative
127,smell baby diaper extra sweet sour sauce dirty look hassle ice cream machine food much mcdonald,1 star,3,0.24687456,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
128,location dog favourite unsalted fry star great crew friendly,5 stars,1,0.45927346,"Fast and quick service, clean place, friendly staff",5,positive
129,rude mad mess order bad service place,1 star,0,0.7469755,"Bad service, wrong orders, rude staff",1,negative
130,bad place single item phone line,1 star,4,0.47567588,"Long wait times, slow drive-thru",1,negative
131,able fresh sweet tea sad check drink drive thru time week bad tea location work new one hubby drink run morning taste test leaf,1 star,3,0.4787774,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
